# Galaxy: DDO168
# Distance: 4.3 Mpc
# Mean Inclination: 62.0 degree
# Mean PA: 272.7 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   15.00     0.31     9.18     2.06     6.88     6.80    11.47     4.40    13.52     0.92    16.43     2.87
   30.00     0.63    15.02     2.42    10.03     4.49    18.06     3.21    12.40     1.59    12.12     4.26
   45.00     0.94    16.66     3.25    12.03     3.22    20.55     3.24    12.96     1.57     9.26     4.49
   60.00     1.25    24.52     2.67    13.24     3.17    27.86     2.79    12.14     1.75     6.94     4.18
   75.00     1.56    32.22     2.98    13.98     4.09    35.12     3.18    10.00     2.44     5.23     3.66
   90.00     1.88    38.70     2.62    14.42     5.11    41.30     3.03    10.53     1.35     4.29     3.46
  105.00     2.19    44.59     3.20    14.73     6.09    46.96     3.59     8.89     1.75     3.65     3.01
  120.00     2.50    48.30     3.38    14.86     6.89    50.53     3.81     8.74     1.70     3.30     2.60
  135.00     2.81    50.71     3.11    14.93     7.40    52.86     3.64     8.82     1.59     2.81     2.17
  150.00     3.13    51.66     3.45    15.01     7.68    53.80     3.95     8.44     1.60     2.37     1.91
  165.00     3.44    52.41     3.91    15.04     8.16    54.53     4.38     7.73     1.87     1.98     1.80
  180.00     3.75    53.31     5.10    15.05     8.36    55.39     5.41     8.05     1.60     1.62     1.74
  195.00     4.07    55.88     5.05    15.00     8.51    57.85     5.36     7.97     4.54     1.37     1.60
  210.00     4.38    53.24     6.75    14.96     8.52    55.30     6.90     8.13     1.60     1.10     1.37
  225.00     4.69    53.25     6.45    14.92     8.67    55.30     6.64     8.04     0.76     0.86     1.07
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
