# Galaxy: DDO101
# Distance: 6.4 Mpc
# Mean Inclination: 52.4 degree
# Mean PA: 287.4 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
    6.00     0.19    19.42     4.12     0.00     0.04    19.42     4.12     3.58     3.69     1.22     0.46
   12.00     0.37    29.47     4.90     0.01     0.07    29.47     4.90     6.36     2.38     1.44     0.51
   18.00     0.56    37.92     3.67     0.03     0.11    37.92     3.67     6.74     1.95     1.67     0.64
   24.00     0.74    43.59     3.08     0.13     0.21    43.59     3.07     6.12     1.74     1.91     0.67
   30.00     0.93    49.90     3.22     0.44     0.66    49.90     3.22     5.69     1.81     1.89     0.56
   36.00     1.12    54.73     2.66     1.34     1.98    54.75     2.66     4.65     1.84     1.88     0.67
   42.00     1.30    56.47     2.41     3.24     4.80    56.56     2.42     4.84     1.42     1.74     0.66
   48.00     1.49    58.14     2.42     4.81     7.13    58.34     2.48     4.12     1.71     1.41     0.64
   54.00     1.68    59.52     2.46     5.11     7.57    59.74     2.54     3.69     1.59     0.98     0.63
   60.00     1.86    59.76     3.55     4.43     6.57    59.93     3.57     3.01     1.94     0.53     0.56
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
