# Galaxy: DDO154
# Distance: 3.7 Mpc
# Mean Inclination: 67.9 degree
# Mean PA: 226.1 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   15.00     0.27    10.29     2.27     2.69     1.26    10.64     2.22    10.90     1.16     2.78     0.67
   30.00     0.54    13.89     2.01     3.77     1.51    14.39     1.98    10.61     1.01     2.97     0.94
   45.00     0.81    19.18     1.52     4.59     1.57    19.72     1.52    10.50     0.93     3.24     1.16
   60.00     1.08    24.36     1.21     5.28     1.53    24.92     1.22    10.08     1.15     3.50     1.15
   75.00     1.35    27.27     1.75     5.91     1.45    27.90     1.74     9.74     1.03     3.39     0.92
   90.00     1.61    29.57     1.52     6.51     1.29    30.28     1.51     9.21     0.98     3.27     0.94
  105.00     1.88    31.44     1.60     7.07     1.14    32.23     1.58     8.69     1.00     3.10     0.87
  120.00     2.15    33.92     1.58     7.68     1.00    34.78     1.56     8.38     1.07     2.79     0.83
  135.00     2.42    36.06     1.45     8.30     0.97    37.00     1.43     7.97     0.83     2.53     0.84
  150.00     2.69    38.35     1.62     8.96     0.98    39.38     1.59     7.88     1.02     2.29     0.84
  165.00     2.96    41.11     1.38     9.61     1.06    42.22     1.37     7.98     0.96     2.12     0.82
  180.00     3.23    43.02     1.37    10.36     1.14    44.25     1.36     8.31     0.96     2.00     0.77
  195.00     3.50    44.51     1.35    11.11     1.29    45.87     1.34     8.05     0.78     1.90     0.74
  210.00     3.77    44.89     1.35    11.87     1.54    46.44     1.37     8.51     0.96     1.81     0.73
  225.00     4.04    45.71     1.41    12.61     1.71    47.41     1.43     8.58     0.98     1.60     0.71
  240.00     4.31    46.08     2.24    13.25     1.93    47.95     2.22     9.12     1.14     1.34     0.67
  255.00     4.57    46.66     1.96    13.81     2.03    48.66     1.97     8.76     1.48     1.12     0.61
  270.00     4.84    45.96     2.44    14.25     2.14    48.12     2.41     9.10     1.32     0.94     0.56
  285.00     5.11    45.88     2.50    14.46     2.12    48.11     2.47     8.52     1.46     0.82     0.50
  300.00     5.38    45.26     2.35    14.62     2.12    47.56     2.33     8.22     1.34     0.76     0.44
  315.00     5.65    44.96     2.24    14.49     2.19    47.24     2.24     7.77     1.22     0.70     0.39
  330.00     5.92    45.24     2.35    14.05     2.36    47.37     2.35     7.02     1.65     0.64     0.34
  345.00     6.19    45.24     2.17    13.47     2.61    47.20     2.21     6.03     1.76     0.58     0.30
  360.00     6.46    45.30     3.39    12.42     3.14    46.97     3.37     8.07     0.97     0.50     0.25
  375.00     6.73    46.50     3.64    10.72     4.04    47.72     3.66     8.21     0.70     0.42     0.21
  390.00     7.00    45.86     5.08     9.00     5.28    46.74     5.09     8.12     0.64     0.37     0.19
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
